"ref_num","name","link","posted_on"
"QDi.337","MAYSAR ALI MUSA ABDALLAH AL-JUBURI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/maysar-ali-musa-abdallah-al-juburi","23 September 2014"
"QDi.338","SHAFI SULTAN MOHAMMED AL-AJMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/shafi-sultan-mohammed-al-ajmi","23 September 2014"
"QDi.339","‘ABD AL-RAHMAN MUHAMMAD MUSTAFA AL-QADULI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/%E2%80%98abd-al-rahman-muhammad-mustafa-al-qaduli","23 September 2014"
"QDi.340","EMILIE KONIG","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/emilie-konig","23 September 2014"
"QDi.341","Kevin Jordan Axel Guiavarch","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/kevin-jordan-axel-guiavarch","23 September 2014"
"QDi.342","OUMAR DIABY","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/oumar-diaby","23 September 2014"
"QDi.343","ASHRAF MUHAMMAD YUSUF 'UTHMAN 'ABD AL-SALAM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ashraf-muhammad-yusuf-%27uthman-%27abd-al-salam","23 January 2015"
"QDi.344","IBRAHIM ‘ISA HAJJI MUHAMMAD AL-BAKR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-%E2%80%98isa-hajji-muhammad-al-bakr","23 January 2015"
"QDi.345","TARKHAN TAYUMURAZOVICH BATIRASHVILI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tarkhan-tayumurazovich-batirashvili","23 January 2015"
"QDi.348","ANGGA DIMAS PERSHADA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/angga-dimas-pershada","13 March 2015"
"QDi.349","BAMBANG SUKIRNO","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/bambang-sukirno","13 March 2015"
"QDi.350","WIJI JOKO SANTOSO","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/wiji-joko-santoso","13 March 2015"
