ref_num,name,link,posted_on
QDi.015,MAHFOUZ OULD AL-WALID,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mahfouz-ould-al-walid,8-Jul-09
QDi.017,THARWAT SALAH SHIHATA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tharwat-salah-shihata,10-Jan-11
QDi.018,ABDUL MANAN AGHA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-manan-agha,10-Jan-11
QDi.019,ABDULLAH AHMED ABDULLAH EL ALFI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdullah-ahmed-abdullah-el-alfi,10-Jan-11
QDi.020,MOHAMMAD HAMDI MOHAMMAD SADIQ AL-AHDAL,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammad-hamdi-mohammad-sadiq-al-ahdal,10-Jan-11
QDi.028,AHMED KHALFAN GHAILANI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ahmed-khalfan-ghailani,7-Sep-10
QDi.029,RI’AD MUHAMMAD HASAN MUHAMMAD HIJAZI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ri%E2%80%99ad-muhammad-hasan-muhammad-hijazi,7-Sep-10
QDi.031,OMAR MAHMOUD UTHMAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/omar-mahmoud-uthman,9-Mar-09
QDi.037,ABDUL RAHMAN YASIN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-rahman-yasin,7-Sep-10
QDi.042,HASSAN DAHIR AWEYS,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hassan-dahir-aweys,28-Mar-11
QDi.054,MAJEED ABDUL CHAUDHRY,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/majeed-abdul-chaudhry,7-Sep-10
QDi.055,MAHMOOD SULTAN BASHIR-UD-DIN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mahmood-sultan-bashir-ud-din,7-Sep-10
QDi.056,MOHAMMED TUFAIL,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammed-tufail,7-Sep-10
QDi.057,IBRAHIM ALI ABU BAKR TANTOUSH,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-ali-abu-bakr-tantoush,28-Mar-11
